date,score,zscore,cid
2006-01,28,23~31,C
2006-02,28,23~31,C
2006-03,23,23~31,C
2006-04,23,23~31,C
2006-05,24,23~31,C
2006-06,21,17~22,B
2006-07,21,17~22,B
2006-08,22,17~22,B
2006-09,22,17~22,B
2006-10,20,17~22,B
2006-11,21,17~22,B
2006-12,16,9~16,A
2007-01,18,17~22,B
2007-02,19,17~22,B
2007-03,23,23~31,C
2007-04,18,17~22,B
2007-05,20,17~22,B
2007-06,25,23~31,C
2007-07,30,23~31,C
2007-08,30,23~31,C
2007-09,32,32~37,D
2007-10,32,32~37,D
2007-11,28,23~31,C
2007-12,29,23~31,C
2008-01,29,23~31,C
2008-02,27,23~31,C
2008-03,26,23~31,C
2008-04,27,23~31,C
2008-05,22,17~22,B
2008-06,20,17~22,B
2008-07,16,9~16,A
2008-08,18,17~22,B
2008-09,12,9~16,A
2008-10,12,9~16,A
2008-11,11,9~16,A
2008-12,9,9~16,A
2009-01,9,9~16,A
2009-02,10,9~16,A
2009-03,10,9~16,A
2009-04,11,9~16,A
2009-05,12,9~16,A
2009-06,17,17~22,B
2009-07,18,17~22,B
2009-08,18,17~22,B
2009-09,20,17~22,B
2009-10,26,23~31,C
2009-11,37,32~37,D
2009-12,37,32~37,D
2010-01,38,38~45,E
2010-02,38,38~45,E
2010-03,39,38~45,E
2010-04,39,38~45,E
2010-05,37,32~37,D
2010-06,37,32~37,D
2010-07,38,38~45,E
2010-08,38,38~45,E
2010-09,37,32~37,D
2010-10,34,32~37,D
2010-11,32,32~37,D
2010-12,34,32~37,D
2011-01,34,32~37,D
2011-02,34,32~37,D
2011-03,31,23~31,C
2011-04,29,23~31,C
2011-05,27,23~31,C
2011-06,25,23~31,C
2011-07,23,23~31,C
2011-08,20,17~22,B
2011-09,21,17~22,B
2011-10,19,17~22,B
2011-11,16,9~16,A
2011-12,14,9~16,A
2012-01,13,9~16,A
2012-02,15,9~16,A
2012-03,14,9~16,A
2012-04,14,9~16,A
2012-05,15,9~16,A
2012-06,15,9~16,A
2012-07,16,9~16,A
2012-08,15,9~16,A
2012-09,20,17~22,B
2012-10,19,17~22,B
2012-11,21,17~22,B
2012-12,22,17~22,B
2013-01,19,17~22,B
2013-02,20,17~22,B
2013-03,18,17~22,B
2013-04,17,17~22,B
2013-05,19,17~22,B
2013-06,23,23~31,C
2013-07,20,17~22,B
2013-08,20,17~22,B
2013-09,20,17~22,B
2013-10,21,17~22,B
2013-11,21,17~22,B
2013-12,24,23~31,C
2014-01,22,17~22,B
2014-02,25,23~31,C
2014-03,25,23~31,C
2014-04,29,23~31,C
2014-05,24,23~31,C
2014-06,26,23~31,C
2014-07,27,23~31,C
2014-08,29,23~31,C
2014-09,27,23~31,C
2014-10,24,23~31,C
2014-11,25,23~31,C
2014-12,22,17~22,B
2015-01,23,23~31,C
2015-02,24,23~31,C
2015-03,22,17~22,B
2015-04,16,9~16,A
2015-05,18,17~22,B
2015-06,16,9~16,A
2015-07,14,9~16,A
2015-08,14,9~16,A
2015-09,14,9~16,A
2015-10,15,9~16,A
2015-11,15,9~16,A
2015-12,14,9~16,A
2016-01,14,9~16,A
2016-02,16,9~16,A
2016-03,16,9~16,A
2016-04,17,17~22,B
2016-05,20,17~22,B
2016-06,20,17~22,B
2016-07,23,23~31,C
2016-08,25,23~31,C
2016-09,23,23~31,C
